expected bytes,actual bytes,expected packets,actual packets,bytes ratio,packets ratio
92992312,198701,20196,1700,0.0021367465301862804,0.08417508417508418
93001696,205037,20196,1680,0.0022046587193420646,0.08318478906714201
92999027,196964,20197,1646,0.0021179146315154457,0.08149725206713869
92992012,175240,20196,1631,0.0018844629364509287,0.0807585660526837
92999260,217621,20196,1693,0.0023400293722767255,0.08382848088730442
